distance,speed,vehicle_type,consumption
0.8422649140546007,0.34831460674157305,caminhão,0.7740748689333783
0.4711830131445905,0.9887640449438202,caminhão,0.4890087990924978
0.596562184024267,0.5168539325842696,caminhão,0.6456755679553607
0.04347826086956522,0.7640449438202248,moto,0.0056105711745408834
0.47219413549039435,0.40449438202247195,carro,0.13854738326639482
0.2457027300303337,0.46067415730337075,caminhão,0.2426955268724898
0.8877654196157736,0.15730337078651685,carro,0.23132109022902167
0.7027300303336704,0.16853932584269665,caminhão,0.5862280405923292
0.25884732052578363,0.8089887640449438,moto,0.03663733635834074
0.795753286147624,0.06741573033707865,caminhão,0.6873102983106969
0.8361981799797776,0.8764044943820224,moto,0.11849648956065856
0.3741152679474216,0.9325842696629214,caminhão,0.40058865009044364
0.8928210313447928,0.24719101123595505,caminhão,0.7800533464144465
0.493427704752275,0.5730337078651686,caminhão,0.3983505533924028
0.4074823053589484,0.23595505617977525,moto,0.05944752736303155
0.48432760364004046,0.12359550561797755,carro,0.13612533341509028
0.0010111223458038436,0.16853932584269665,carro,0.0005518594597909063
0.5793731041456017,0.06741573033707865,caminhão,0.42413465370818904
0.9726996966632964,0.6067415730337078,caminhão,0.8423521476530643
0.12436804853387262,0.8426966292134832,caminhão,0.12462826133611309
0.3164812942366026,0.6629213483146068,caminhão,0.2773706962626851
0.5975733063700709,0.5617977528089888,caminhão,0.4825704387282706
0.24266936299292216,0.07865168539325845,caminhão,0.18110187938804917
0.5935288169868554,0.8314606741573034,caminhão,0.5097035288346569
0.19514661274014158,0.6629213483146068,carro,0.04436336879541343
0.3640040444893832,0.0898876404494382,carro,0.09633013459239048
0.3356926188068756,0.34831460674157305,carro,0.10936014961523134
0.660262891809909,0.8314606741573034,moto,0.08700984149369961
0.19009100101112236,0.752808988764045,caminhão,0.17803599350032193
0.9221435793731042,0.5168539325842696,caminhão,0.9338995002606003
0.16279069767441862,0.9775280898876404,carro,0.04040837600024527
0.3619817997977755,0.8651685393258428,carro,0.1022166354968268
0.7987866531850355,0.10112359550561795,carro,0.22840849863568077
0.5267947421638018,0.6179775280898876,caminhão,0.47392464052487976
0.1526794742163802,0.16853932584269665,caminhão,0.13943649017383572
0.24974721941354908,0.19101123595505615,moto,0.03639206548732256
0.2568250758341759,0.34831460674157305,moto,0.037986326148940736
0.38018200202224467,0.21348314606741575,carro,0.10350430756967226
0.0030333670374115274,0.47191011235955055,caminhão,0.011037189195818132
0.763397371081901,0.853932584269663,caminhão,0.6590734892847289
0.34378159757330634,0.42696629213483145,caminhão,0.30232700738878504
0.8048533872598586,0.44943820224719094,caminhão,0.7913971241990374
0.6814964610717897,0.7415730337078652,moto,0.09804703068951774
0.38928210313447925,1.0,caminhão,0.3894594843179937
0.3609706774519717,0.7640449438202248,carro,0.08458779164239508
0.38928210313447925,0.03370786516853935,caminhão,0.3207529815740259
0.5743174924165825,0.46067415730337075,caminhão,0.5465861360640157
0.13751263902932256,0.651685393258427,carro,0.03461385167244076
0.7815975733063701,0.9887640449438202,caminhão,0.8295060857834871
0.6875631951466128,0.696629213483146,carro,0.17892510040776283
0.19919110212335694,0.9213483146067416,caminhão,0.19710580372198544
0.8776541961577352,0.14606741573033705,caminhão,0.776282306772542
0.2123356926188069,0.8651685393258428,caminhão,0.22049851304534446
0.8260869565217392,0.797752808988764,caminhão,0.7260630959315695
0.15672396359959556,0.7078651685393258,caminhão,0.14207315203728116
0.31749241658240646,0.24719101123595505,caminhão,0.3032774320139805
0.35591506572295245,0.9325842696629214,carro,0.08900266732072232
0.8988877654196158,0.6067415730337078,carro,0.22889904037771713
0.9757330637007079,0.42696629213483145,moto,0.1600699021982402
0.8695652173913044,0.12359550561797755,caminhão,0.6703559493515652
0.06774519716885744,0.7415730337078652,moto,0.008001962166968146
0.5500505561172903,0.34831460674157305,moto,0.08394395560597236
0.8574317492416583,0.0,carro,0.23549069503633074
0.5955510616784632,0.8651685393258428,carro,0.1502897262163902
0.9635995955510618,0.0,caminhão,0.8109881350216146
0.23356926188068758,0.9662921348314608,caminhão,0.2270288499862035
0.8958543983822044,0.5280898876404494,moto,0.13971241990373118
0.3326592517694641,0.35955056179775274,moto,0.05058711714749978
0.6046511627906977,0.6179775280898876,moto,0.07698439464083147
0.12841253791708798,0.02247191011235955,carro,0.03225311953889076
0.11627906976744187,0.38202247191011235,carro,0.03492044026121348
0.23053589484327605,0.05617977528089885,caminhão,0.1715363154183401
0.552072800808898,0.31460674157303375,caminhão,0.5070362081123341
0.26693629929221435,0.752808988764045,caminhão,0.24039611245669434
0.8028311425682508,0.696629213483146,carro,0.2123739154428672
0.5318503538928211,1.0,moto,0.07588067572124967
0.15369059656218403,0.19101123595505615,carro,0.04791979642517706
0.5935288169868554,0.48314606741573035,carro,0.17812797007695375
0.3619817997977755,0.6853932584269664,caminhão,0.3462918110187939
0.5995955510616785,0.9101123595505618,caminhão,0.6334733421222063
0.3367037411526795,0.25842696629213485,moto,0.04601894717478615
0.10313447927199193,0.6067415730337078,moto,0.011558389796731764
0.9939332659251771,0.0,caminhão,0.7173866388693013
0.4499494438827098,0.26966292134831454,caminhão,0.38559646809945736
0.4539939332659252,0.31460674157303375,moto,0.07146580004292241
0.11627906976744187,0.696629213483146,moto,0.015084158567618113
0.24772497472194135,0.5056179775280898,carro,0.08397461446484963
0.004044489383215371,0.48314606741573035,carro,0.002514026427936352
0.19615773508594542,0.33707865168539325,carro,0.055707146580004294
0.3063700707785642,0.5842696629213484,caminhão,0.23932305239598983
0.8675429726996967,0.05617977528089885,moto,0.1254867093846767
0.4034378159757331,0.48314606741573035,carro,0.1327528589385903
0.7421638018200203,0.7640449438202248,caminhão,0.6150473679369654
0.008088978766430738,0.03370786516853935,moto,0.0
0.7047522750252782,0.07865168539325845,caminhão,0.5497439985283749
0.2406471183013145,0.6179775280898876,carro,0.05451145108379066
0.6592517694641052,0.550561797752809,caminhão,0.6008829751356655
0.9312436804853388,0.853932584269663,carro,0.2584848391942852
0.788675429726997,0.19101123595505615,moto,0.10724468835269951
0.32254802831142565,0.550561797752809,carro,0.11322316583376768
0.8816986855409505,0.30337078651685395,carro,0.2526903148664807
0.8554095045500506,0.6629213483146068,caminhão,0.7246221295643376
0.41456016177957533,0.6741573033707866,moto,0.05929423306864519
0.6006066734074824,0.7191011235955056,carro,0.14569089738479932
0.08291203235591507,0.696629213483146,carro,0.02118527148419536
0.22750252780586452,0.48314606741573035,moto,0.03703590152374528
0.5631951466127402,0.752808988764045,moto,0.07667780605205875
0.6845298281092013,0.595505617977528,caminhão,0.6313272220007972
0.3407482305358948,0.14606741573033705,moto,0.04813440843731796
0.7017189079878666,0.7865168539325844,caminhão,0.5861667228745746
0.20222446916076847,0.550561797752809,moto,0.0317625777968544
0.21132457027300305,0.02247191011235955,caminhão,0.1800594781862219
0.052578361981799805,0.43820224719101125,caminhão,0.05969279823404973
0.23356926188068758,0.43820224719101125,carro,0.0802035748229451
0.14459049544994945,0.8089887640449438,moto,0.020572094306649906
0.8179979777553085,0.49438202247191015,carro,0.26216390225955793
0.7077856420626897,0.43820224719101125,caminhão,0.6895790538676151
0.558139534883721,0.7865168539325844,moto,0.07336664929331331
0.3751263902932255,0.7752808988764046,caminhão,0.35699175276696204
0.9858442871587463,0.595505617977528,caminhão,0.8878498942269369
0.9120323559150658,0.35955056179775274,carro,0.254529846399117
0.42669362992922144,0.011235955056179747,moto,0.05904896219762701
0.5298281092012134,0.6853932584269664,carro,0.12588527455008125
0.04752275025278059,0.37078651685393255,moto,0.007296808412790876
0.9959555106167847,0.21348314606741575,carro,0.303001502284085
0.8685540950455006,0.0449438202247191,carro,0.21899622896035806
0.35591506572295245,0.17977528089887634,caminhão,0.3014379004813441
0.5409504550050557,0.9775280898876404,carro,0.15090290339393567
0.6723963599595552,0.8651685393258428,carro,0.17809731121807645
